,time0
0,0.1884770393371582
1,0.09272623062133789
2,0.1097114086151123
3,0.09275507926940918
4,0.09278416633605957
5,0.0907602310180664
6,0.0877687931060791
7,0.27025723457336426
8,0.09976530075073242
9,0.09076285362243652
10,0.08976268768310547
11,0.09375214576721191
12,0.08779644966125488
13,0.08676886558532715
14,0.08876872062683105
15,0.08877205848693848
16,0.09372806549072266
17,0.09577488899230957
18,0.0907602310180664
19,0.08978843688964844
20,0.09078454971313477
21,0.09372830390930176
22,0.09321451187133789
23,0.09378194808959961
24,0.09474968910217285
25,0.0957193374633789
26,0.09674811363220215
27,0.09774637222290039
28,0.09876894950866699
29,0.10175895690917969
30,0.10073304176330566
31,0.10270476341247559
32,0.10076308250427246
33,0.10569620132446289
34,0.1037588119506836
35,0.10671830177307129
36,0.10675287246704102
37,0.11267757415771484
38,0.11170578002929688
39,0.11170601844787598
40,0.11173295974731445
41,0.11070632934570312
42,0.2792625427246094
43,0.11469650268554688
44,0.11367106437683105
45,0.11372661590576172
46,0.11968350410461426
47,0.11766242980957031
48,0.11566519737243652
49,0.11672282218933105
50,0.11867904663085938
51,0.12170815467834473
52,0.11669063568115234
53,0.11771392822265625
54,0.1226813793182373
55,0.11871099472045898
56,0.1206815242767334
57,0.11968302726745605
58,0.13065242767333984
59,0.11867427825927734
60,0.11968350410461426
61,0.1206815242767334
62,0.12669634819030762
63,0.11868572235107422
64,0.12467002868652344
65,0.12367463111877441
66,0.11968374252319336
67,0.11970853805541992
68,0.11967802047729492
69,0.1256697177886963
70,0.12167930603027344
71,0.12068057060241699
72,0.12168002128601074
73,0.12566852569580078
74,0.11968541145324707
75,0.12669157981872559
76,0.12067961692810059
77,0.12369799613952637
78,0.12167978286743164
79,0.12666535377502441
80,0.12566852569580078
81,0.12366962432861328
82,0.13267850875854492
83,0.1236727237701416
84,0.12666678428649902
85,0.12868785858154297
86,0.13065528869628906
87,0.12766385078430176
88,0.13367199897766113
89,0.3191561698913574
90,0.13663887977600098
91,0.1456160545349121
92,0.14960527420043945
93,0.14359259605407715
94,0.14558935165405273
95,0.1486365795135498
96,0.1396322250366211
97,0.13664007186889648
98,0.13364720344543457
99,0.1316525936126709
100,0.13461875915527344
101,0.13367938995361328
102,0.13966155052185059
103,0.13367629051208496
104,0.30320024490356445
105,0.03094625473022461
106,0.030918121337890625
107,0.030922651290893555
108,0.030917644500732422
109,0.030922412872314453
110,0.030918598175048828
111,0.03092217445373535
112,0.030922412872314453
113,0.030922889709472656
114,0.030917882919311523
115,0.03191995620727539
116,0.030920743942260742
117,0.030916929244995117
118,0.03089308738708496
119,0.030922889709472656
120,0.03091716766357422
121,0.030893564224243164
122,0.030918359756469727
123,0.030923843383789062
124,0.030918359756469727
125,0.03092217445373535
126,0.03091740608215332
127,0.030922651290893555
128,0.030918359756469727
129,0.030922651290893555
130,0.030918359756469727
131,0.03091716766357422
132,0.030921459197998047
133,0.03092193603515625
134,0.030921459197998047
135,0.030917644500732422
136,0.030946969985961914
137,0.030918121337890625
138,0.030922412872314453
139,0.030874013900756836
140,0.030922651290893555
141,0.03089427947998047
142,0.030899763107299805
143,0.03089284896850586
